Node,Adjacent nodes
2874362912,"[179462993, 1705549342]"
568020068,"[568020069, 568020067]"
192106219,"[422443428, 491074149, 422443423]"
1139495271,[1140378626]
496218307,"[176668351, 507091518]"
424891885,"[424891886, 1624927323]"
424891886,"[1306149806, 424891885]"
1014192408,"[179598252, 837429722]"
979065120,"[851362510, 3674518538]"
476273655,"[1418999560, 175336167]"
568024645,"[457801800, 175031572]"
175332959,"[175336167, 231270654]"
175332987,[415263358]
1332437452,"[1342933735, 1342933734, 360181861]"
1332437461,"[1342933735, 1342933734, 175040705]"
241918719,"[192290383, 241918720]"
241918720,"[241918829, 241918719]"
241918724,"[241918829, 241918725]"
241918725,"[241918724, 241918728, 591780190]"
241918728,"[175031614, 412820513, 241918725]"
241918826,"[241918829, 175068232]"
241919839,"[175068232, 175075315]"
2548263294,"[3114061635, 175347187]"
241920422,"[175031590, 175075308, 319893180, 319893201]"
175336161,[482313278]
175336167,"[175332959, 476273655]"
2210410034,"[176141244, 456946649]"
3133122012,"[409773016, 2970412270, 409769015]"
633565264,"[212641552, 414443436]"
426471806,"[176602990, 176605397]"
957051555,"[474653834, 416564073]"
956003946,"[4937889072, 225658113]"
192290883,[192290906]
192117340,"[192128662, 314571916, 192134076, 2299148928]"
3605048985,"[871025871, 268280159, 3605048983]"
192290906,"[416547560, 192290883, 412502503]"
241925114,"[241925111, 241925118]"
241925326,"[416547564, 528622902, 176397094, 528622904]"
241925854,"[175078710, 175078703]"
411271208,[411286166]
1169392222,[418996823]
241927052,"[175066119, 175082606, 192291052]"
241928678,[192291052]
1342933734,"[1332437461, 1332437452, 1342933735, 644992159]"
1342933735,"[1332437452, 1332437461, 176176333, 1342933734]"
662932249,"[413451787, 662932253]"
662932253,"[176188555, 662932249]"
411274440,[829799254]
411274443,[449207230]
411275019,"[411275023, 411225448, 412102600]"
411275023,"[411275019, 411275021]"
